Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59105E+12,Europe/London,02. 06. 2020 0:17,02. 06. 2020 7:53,02. 06. 2020 8:15,7.6,3.5,,10007,-1,-1,4,0.23913044,-6
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59097E+12,Europe/London,01. 06. 2020 0:20,01. 06. 2020 8:13,01. 06. 2020 8:15,7.88,3.75,,10007,-1,-1,6,0.34736842,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59088E+12,Europe/London,31. 05. 2020 0:43,31. 05. 2020 7:59,31. 05. 2020 8:15,7.27,0,,10007,-1,-1,5,0.36363637,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59079E+12,Europe/London,30. 05. 2020 0:08,30. 05. 2020 7:38,30. 05. 2020 8:00,7.51,3.5,,10007,-1,-1,4,0.25274727,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59071E+12,Europe/London,29. 05. 2020 0:02,29. 05. 2020 8:04,29. 05. 2020 8:00,8.03,0,,10007,-1,-1,4,0.22680412,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59062E+12,Europe/London,28. 05. 2020 0:15,28. 05. 2020 7:36,28. 05. 2020 8:00,7.33,3.5,,10007,-1,-1,5,0.31460676,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59053E+12,Europe/London,27. 05. 2020 0:10,27. 05. 2020 8:11,27. 05. 2020 8:00,8.03,3.75,,10007,-1,-1,4,0.25773194,-17
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59045E+12,Europe/London,25. 05. 2020 23:52,26. 05. 2020 7:54,26. 05. 2020 8:00,8.03,4,,10007,-1,-1,5,0.2783505,-2
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59036E+12,Europe/London,24. 05. 2020 23:46,25. 05. 2020 7:59,25. 05. 2020 8:00,8.22,4,,10007,-1,-1,6,0.33333334,-4
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59028E+12,Europe/London,24. 05. 2020 0:34,24. 05. 2020 8:00,24. 05. 2020 8:00,7.43,3.5,,10007,-1,-1,7,0.2888889,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59019E+12,Europe/London,23. 05. 2020 0:16,23. 05. 2020 7:31,23. 05. 2020 8:00,7.25,0, #newmoon,10007,-1,-1,2,0.1590909,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.5901E+12,Europe/London,22. 05. 2020 0:46,22. 05. 2020 7:37,22. 05. 2020 8:00,6.86,3.75, #newmoon   #geo1,10007,-1,-1,3,0.19277108,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.59002E+12,Europe/London,21. 05. 2020 0:45,21. 05. 2020 7:38,21. 05. 2020 8:00,6.88,4,,10007,-1,-1,5,0.22891566,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58993E+12,Europe/London,20. 05. 2020 0:31,20. 05. 2020 8:22,21. 05. 2020 0:30,7.85,3.75,,10007,-1,-1,8,0.4,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58984E+12,Europe/London,19. 05. 2020 0:24,19. 05. 2020 7:36,19. 05. 2020 7:55,7.2,0,,10007,-1,-1,6,0.3448276,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58976E+12,Europe/London,18. 05. 2020 0:17,18. 05. 2020 8:09,18. 05. 2020 7:55,7.87,3.75,,10007,-1,-1,7,0.33684212,-30
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58967E+12,Europe/London,17. 05. 2020 0:40,17. 05. 2020 7:47,17. 05. 2020 7:55,7.11,3.5,,10007,-1,-1,4,0.24418604,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58958E+12,Europe/London,16. 05. 2020 0:08,16. 05. 2020 7:57,16. 05. 2020 7:55,7.82,0,,10007,-1,-1,6,0.45,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58941E+12,Europe/London,14. 05. 2020 0:49,14. 05. 2020 8:21,14. 05. 2020 8:20,7.54,3.5,,10007,-1,-1,6,0.34920636,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58932E+12,Europe/London,13. 05. 2020 0:00,13. 05. 2020 8:22,13. 05. 2020 8:20,8.37,0,,10007,-1,-1,2,0.23529412,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58924E+12,Europe/London,12. 05. 2020 0:39,12. 05. 2020 8:17,12. 05. 2020 8:20,7.63,0,  #geo1,10007,-1,-1,10,0.45652175,-6
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58915E+12,Europe/London,11. 05. 2020 0:17,11. 05. 2020 8:06,11. 05. 2020 8:20,7.81,3.75,,10007,-1,-1,7,0.31914893,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58907E+12,Europe/London,10. 05. 2020 0:36,10. 05. 2020 7:55,10. 05. 2020 8:20,7.31,3.5,,10007,-1,-1,8,0.36363637,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58889E+12,Europe/London,08. 05. 2020 0:32,08. 05. 2020 8:22,08. 05. 2020 8:20,7.84,3.5, #fullmoon #sport,10007,-1,-1,5,0.2631579,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58881E+12,Europe/London,07. 05. 2020 0:31,07. 05. 2020 8:09,07. 05. 2020 8:20,7.63,3.75, #fullmoon,10007,-1,-1,9,0.6630435,-11
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58872E+12,Europe/London,06. 05. 2020 0:11,06. 05. 2020 8:21,06. 05. 2020 8:20,8.16,0, #watch #sport,10007,-1,-1,-1,-1,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58864E+12,Europe/London,05. 05. 2020 0:30,05. 05. 2020 8:10,05. 05. 2020 8:20,7.67,3.5,,10007,-1,-1,6,0.32258064,-8
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58855E+12,Europe/London,04. 05. 2020 0:29,04. 05. 2020 7:52,04. 05. 2020 8:20,7.39,3.5,,10007,-1,-1,7,0.35955057,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58846E+12,Europe/London,03. 05. 2020 0:18,03. 05. 2020 7:55,03. 05. 2020 8:20,7.61,4,,10007,-1,-1,5,0.3043478,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58837E+12,Europe/London,01. 05. 2020 23:33,02. 05. 2020 8:22,02. 05. 2020 8:20,8.81,4,,10007,-1,-1,5,0.1981132,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.58829E+12,Europe/London,01. 05. 2020 0:33,01. 05. 2020 8:05,01. 05. 2020 8:20,7.54,3.75,,10007,-1,-1,8,0.4065934,0
Id,Tz,From,To,Sched,Hours,Rating,Comment,Framerate,Snore,Noise,Cycles,DeepSleep,LenAdjust
1.5882E+12,Europe/London,29. 04. 2020 23:41,30. 04. 2020 7:58,30. 04. 2020 8:20,8.3,3.75, #sport,10007,-1,-1,7,0.38,0
