unix_time,day,start,length,cycles,deep
1504732454,3,21.17,8.40,2,0.30
1504646449,2,21.33,8.20,6,0.37
1504563049,1,22.17,8.10,2,0.12
1504477350,7,22.33,8.00,3,0.44
1498427093,7,21.67,8.60,7,0.44
1498341369,6,21.83,8.50,4,0.41
1498254284,5,21.67,8.70,4,0.33
1498168473,4,21.83,8.20,6,0.50
1498082707,3,22.00,8.10,6,0.37
1497995761,2,21.83,8.40,3,0.42
1497910236,1,22.17,7.90,4,0.31
1497821615,7,21.50,7.90,7,0.53
1497736583,6,21.83,8.30,9,0.48
1497651556,5,22.17,8.20,3,0.28
1497562124,4,21.33,8.00,5,0.50
1497477561,3,21.83,8.10,5,0.35
